patch_id,patch_date,hero,role,win_rate,pick_rate,ban_rate,rank_bracket,nerfed_next
,,Novaria,mage,49.43,1.28,5.02,mythic,
,,Cecilion,mage,49.41,0.59,0.24,mythic,
,,Obsidia,marksman,49.35,0.5,1.24,mythic,
,,Yu Zhong,fighter,49.25,0.7,2.57,mythic,
,,Angela,support,49.06,1.6,13.93,mythic,
,,Ixia,marksman,48.94,0.87,2.21,mythic,
,,Gusion,assassin,48.92,1.71,7.71,mythic,
,,Lunox,mage,48.89,0.18,0.27,mythic,
,,Hylos,tank,48.87,0.37,1.07,mythic,
,,Yin,fighter,48.87,0.65,2.61,mythic,
,,Aurora,mage,48.84,0.53,0.47,mythic,
,,Beatrix,marksman,48.81,0.62,0.76,mythic,
,,Chang'e,mage,48.73,0.89,0.72,mythic,
,,Brody,marksman,48.72,0.53,1.25,mythic,
,,Dyrroth,fighter,48.67,1.75,2.05,mythic,
,,Phoveus,fighter,48.49,0.29,1.05,mythic,
,,Balmond,fighter,48.49,1.18,1.28,mythic,
,,Moskov,marksman,48.31,0.76,0.37,mythic,
,,Helcurt,assassin,48.29,0.94,28.19,mythic,
,,Clint,marksman,48.24,0.59,0.75,mythic,
,,Claude,marksman,48.23,0.75,0.55,mythic,
,,Nolan,assassin,48.22,0.43,1.18,mythic,
,,Jawhead,fighter,48.19,0.5,0.63,mythic,
,,Xavier,mage,48.08,0.53,0.21,mythic,
,,Esmeralda,tank,47.99,0.85,3.26,mythic,
,,Cici,fighter,47.98,0.32,2.18,mythic,
,,Bruno,marksman,47.9,0.14,0.11,mythic,
,,Layla,marksman,47.76,1.36,1.43,mythic,
,,Selena,assassin,47.76,1.24,6.59,mythic,
,,Karrie,marksman,47.71,0.59,2.12,mythic,
,,Hayabusa,assassin,47.64,0.72,3.08,mythic,
,,Luo Yi,mage,47.6,0.17,0.11,mythic,
,,Grock,tank,47.56,0.43,1.62,mythic,
,,Freya,fighter,47.54,0.63,2.87,mythic,
,,Wanwan,marksman,47.4,0.17,0.26,mythic,
,,Chip,support,47.39,0.04,0.58,mythic,
,,Martis,fighter,47.39,0.6,0.93,mythic,
,,Kimmy,marksman,47.36,0.62,0.64,mythic,
,,Kaja,support,47.34,0.56,44.29,mythic,
,,Harley,assassin,47.33,1.13,19.37,mythic,
,,Nana,mage,47.32,1.84,5.19,mythic,
,,Zhuxin,mage,47.29,0.1,0.83,mythic,
,,Arlott,fighter,47.2,0.37,0.66,mythic,
,,Zilong,fighter,47.19,0.93,0.6,mythic,
,,Lesley,marksman,46.98,2.08,20.46,mythic,
,,Pharsa,mage,46.75,0.46,0.37,mythic,
,,Joy,assassin,46.61,0.14,0.42,mythic,
,,Karina,assassin,46.07,0.73,2.86,mythic,
,,Chou,fighter,46.04,1.24,4.05,mythic,
,,Baxia,tank,46.02,0.09,0.27,mythic,
,,Tigreal,tank,45.91,2.45,12.43,mythic,
,,Alpha,fighter,45.77,1.08,0.57,mythic,
,,Harith,mage,45.24,0.16,0.19,mythic,
,,Gatotkaca,tank,45.16,0.72,0.6,mythic,
,,Mathilda,support,45.11,0.1,0.22,mythic,
,,Lancelot,assassin,43.39,0.58,0.82,mythic,
,,Franco,tank,43.27,1.21,6.37,mythic,
,,Kalea,support,43.17,0.13,0.51,mythic,
,,Valentina,mage,41.78,0.09,0.13,mythic,
,,Fanny,assassin,41.64,0.56,2.56,mythic,
,,Granger,marksman,40.77,1.32,2.86,mythic,
